Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B057,R-Y-G-R,Woodland,GT1,19/06/2025,21/06/2025,24/06/2025,Translocation,Grassland,NF2,C14,Pterostichus madidus,0.117,0.108,0.06,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B058,R-Y-G-B,Woodland,BN,19/06/2025,21/06/2025,24/06/2025,Translocation,Grassland,NF1,C1,Abax parallelepipedus,0.270,0.243,0.164,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B059,R-Y-G-G,Woodland,BN,19/06/2025,21/06/2025,24/06/2025,Translocation,Grassland,NF2,C15,Typhaeus typhoeus,0.416,0.350,0.151,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B060,R-Y-G-Y,Woodland,GT2,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,BN,C6,Abax parallelepipedus,0.261,0.242,0.195,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B061,R-Y-Y-R,Woodland,GT2,19/06/2025,21/06/2025,24/06/2025,Translocation,Grassland,NF2,C21,Abax parallelepipedus,0.277,0.237,0.141,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B062,R-Y-Y-B,Woodland,GT2,19/06/2025,21/06/2025,24/06/2025,Translocation,Grassland,NF1,C7,Abax parallelepipedus,0.246,0.208,0.140,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B063,R-Y-Y-G,Woodland,GT2,19/06/2025,21/06/2025,24/06/2025,Combined,Grassland,NF1,C18,Abax parallelepipedus,0.380,0.334,0.290,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B064,R-Y-Y-Y,Woodland,GT2,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,MC,C3,Abax parallelepipedus,0.290,0.262,0.179,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B066,B-R-R-B,Woodland,MC,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,MC,C23,Abax parallelepipedus,0.236,0.201,0.153,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B067,B-R-R-G,Woodland,MC,19/06/2025,21/06/2025,24/06/2025,Competition,Woodland,MC,C3,Pterostichus madidus,0.130,0.114,0.091,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B068,B-R-R-Y,Grassland,NF2,26/06/2025,27/06/2025,30/06/2025,Control,Grassland,CF,C13,Abax parallelepipedus,0.452,0.368,0.179,Dead,NA,NA,NA,NA,Yes,Yes. Accidental red streak on thorax. Close to laying eggs. Found dead in the field.
B071,B-R-B-G,Grassland,NF1,26/06/2025,27/06/2025,30/06/2025,Combined,Grassland,LC,C20,Abax sp.,0.662,0.568,0.227,Dead,NA,NA,NA,NA,Yes,Yes. Close to laying eggs.
B072,B-R-B-Y,Grassland,CF,25/07/2025,26/07/2025,29/07/2025,Translocation,Woodland,BN,C6,Pterostichus madidus,0.128,0.107,0.083,Dead,NA,NA,NA,NA,No,Yes
B076,B-R-G-Y,Woodland,BN,26/06/2025,27/06/2025,30/06/2025,Translocation,Grassland,CF,C5,Pterostichus madidus,0.151,0.137,0.037,Dead,NA,NA,NA,NA,No,Yes. Found dead in the field.
B078,B-R-Y-B,Woodland,GT2,26/06/2025,27/06/2025,30/06/2025,Translocation,Grassland,CF,C17,Nebria brevicollis,0.071,0.061,0.037,Dead,NA,NA,NA,NA,No,Yes. Found dead in the field.
B084,B-B-R-Y,Woodland,GT1,26/06/2025,27/06/2025,30/06/2025,Combined,Grassland,LC,C20,Abax parallelepipedus,0.312,0.292,0.135,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B109,B-G-Y-R,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Competition,Grassland,CF,C5,Abax parallelepipedus,0.243,0.205,0.115,Dead,NA,NA,NA,NA,No,Yes
B110,B-G-Y-B,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT1,C12,Abax parallelepipedus,0.304,0.259,0.177,Dead,NA,NA,NA,NA,No,Yes
B111,B-G-Y-G,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT2,C9,Pterostichus madidus,0.129,0.122,0.074,Dead,NA,NA,NA,NA,No,Yes
B112,B-G-Y-Y,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Translocation,Grassland,LC,C19,Abax parallelepipedus,0.267,0.243,0.163,Dead,NA,NA,NA,NA,No,Yes
B113,B-Y-R-R,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,MC,C3,Nebria brevicollis,0.051,0.042,0.031,Dead,NA,NA,NA,NA,No,Yes. Accidental blues streak on the left side
B114,B-Y-R-B,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Translocation,Grassland,NF1,C7,Abax parallelepipedus,0.276,0.247,0.185,Dead,NA,NA,NA,NA,No,Yes. Has a little parasite thing on it
B119,B-Y-B-G,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Combined,Grassland,CF,C13,Abax parallelepipedus,0.325,0.302,0.166,Dead,NA,NA,NA,NA,No,Yes
B121,B-Y-G-R,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,GT1,C4,Abax parallelepipedus,0.337,0.308,0.242,Dead,NA,NA,NA,NA,No,Yes
B122,B-Y-G-B,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT1,C12,Pterostichus madidus,0.136,0.120,0.071,Dead,NA,NA,NA,NA,No,Yes
B124,B-Y-G-Y,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,GT2,C2,Abax parallelepipedus,0.335,0.275,0.196,Dead,NA,NA,NA,NA,Yes,Yes. Close to laying eggs.
B125,B-Y-Y-R,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Combined,Grassland,LC,C24,Abax parallelepipedus,0.293,0.246,0.138,Dead,NA,NA,NA,NA,No,Yes
B126,B-Y-Y-B,Grassland,NF2,03/07/2025,04/07/2025,08/07/2025,Combined,Grassland,CF,C13,Pterostichus madidus,0.204,0.174,0.090,Dead,NA,NA,NA,NA,No,Yes
B127,B-Y-Y-G,Grassland,NF2,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT1,C16,Abax sp.,0.673,0.557,0.425,Dead,NA,NA,NA,NA,No,Yes
B130,G-R-R-B,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,MC,C3,Abax parallelepipedus,0.263,0.239,0.191,Dead,NA,NA,NA,NA,No,Yes
B133,G-R-B-R,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,BN,C8,Nebria brevicollis,0.078,0.071,0.051,Dead,NA,NA,NA,NA,No,Yes
B136,G-R-B-Y,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,MC,C10,Pterostichus madidus,0.215,0.131,0.087,Dead,NA,NA,NA,NA,Yes,Yes. Close to laying eggs. Accidental red streak on the right side
B139,G-R-G-G,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,GT2,C11,Abax parallelepipedus,0.340,0.316,0.232,Dead,NA,NA,NA,NA,No,Yes
B143,G-R-Y-G,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT2,C9,Abax parallelepipedus,0.309,0.289,0.212,Dead,NA,NA,NA,NA,No,Yes
